Test Description,Size,Method,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,2,0,0.63175,0.0035019,0.034821,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.copyCR,3,0,2.1374,0.0035019,0.034821,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.force,3,0,2.0747,0.0035019,0.034821,6
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelDps,3.8,0,4.1867,0.0035019,0.034821,6
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,10.2,5.1,16.371,6.2658,2.6527,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,10.2,5.1,15.996,6.4527,2.6214,10
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,21.2,12.4,32.624,20.738,8.0649,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,103.2,74.2,130.81,107.42,19.699,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,97.9,70.9,127.81,103.81,19.668,52
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,207.9,157.4,260.16,296.43,53.559,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,870.9,652.3,1046.9,910.88,166.81,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,845.3,641.2,1022.8,910.95,166.78,422
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,2004.6,1603.3,2080.4,2941.1,512.25,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,7638.9,5780,8375.9,7306.3,1330.2,3312.9
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,6907.3,5259.4,8183.7,7287.7,1328.2,3294
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,16752,13448,16642,24017,4097.6,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,60421,45491,67009,59810,10456,25460
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,58595,44240,65471,58305,10624,26275
DPS interface for compact regions/List and DList concatenation,2^10,concatDListDpsLeft,2,0,0.26232,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^10,concatDListFunLeft.copyCR,2.1,0,0.31857,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^10,concatDListFunLeft.force,2,0,0.25587,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^10,concatListRight.copyCR,2,0,0.31435,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^10,concatListRight.force,2,0,0.25165,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^13,concatDListDpsLeft,2.1,0,1.1346,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^13,concatDListFunLeft.copyCR,2.5,0,1.5793,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^13,concatDListFunLeft.force,2,0,1.2353,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^13,concatListRight.copyCR,2.6,0,1.5532,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^13,concatListRight.force,2,0,1.2092,0.0035019,0.034821,6
DPS interface for compact regions/List and DList concatenation,2^16,concatDListDpsLeft,10.2,2.9,8.1408,2.0855,0.034821,10
DPS interface for compact regions/List and DList concatenation,2^16,concatDListFunLeft.copyCR,11,3.7,11.566,2.8929,2.6209,10
DPS interface for compact regions/List and DList concatenation,2^16,concatDListFunLeft.force,10,5.3,9.0663,4.6423,2.5889,10
DPS interface for compact regions/List and DList concatenation,2^16,concatListRight.copyCR,7.3,2,11.365,2.6873,2.5712,10
DPS interface for compact regions/List and DList concatenation,2^16,concatListRight.force,7.7,4,8.8652,4.6169,2.5633,10
DPS interface for compact regions/List and DList concatenation,2^19,concatDListDpsLeft,78.4,46.8,64.16,48.692,21.188,49
DPS interface for compact regions/List and DList concatenation,2^19,concatDListFunLeft.copyCR,92.3,62.7,91.748,67.54,21.648,56
DPS interface for compact regions/List and DList concatenation,2^19,concatDListFunLeft.force,79.9,59.9,71.716,64.944,21.623,51
DPS interface for compact regions/List and DList concatenation,2^19,concatListRight.copyCR,77.9,48.5,90.147,50.124,21.089,49
DPS interface for compact regions/List and DList concatenation,2^19,concatListRight.force,73.9,57.5,70.115,63.628,21.081,49
DPS interface for compact regions/List and DList concatenation,2^22,concatDListDpsLeft,417.7,275.9,512.28,479.43,169.01,352
DPS interface for compact regions/List and DList concatenation,2^22,concatDListFunLeft.copyCR,555.1,405.6,733.07,712.59,172.55,423
DPS interface for compact regions/List and DList concatenation,2^22,concatDListFunLeft.force,527.3,425.2,572.92,662.87,172.3,407
DPS interface for compact regions/List and DList concatenation,2^22,concatListRight.copyCR,612.3,425.4,720.27,484.41,167.99,351
DPS interface for compact regions/List and DList concatenation,2^22,concatListRight.force,609.6,508,560.12,605.19,166.68,386
DPS interface for compact regions/List and DList concatenation,2^25,concatDListDpsLeft,3523.1,2372.7,4097.3,4035.3,1352.4,2774
