Test Description,Size,Method,Iteration,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,1,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,2,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,3,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,4,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,5,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,6,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,7,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,8,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,9,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,10,2.0,0.0,0.6317520141601562,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.force,1,3.0,0.0,2.0747222900390625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.force,2,3.0,0.0,2.0747222900390625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.force,3,3.0,0.0,2.0747222900390625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.force,4,3.0,0.0,2.0747222900390625,0.00350189208984375,0.034820556640625,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.force,5,3.0,0.0,2.0747222900390625,0.00350189208984375,0.034820556640625,6
