Test Description,Size,Method,Time (ms),Allocated (MB),Copied (MB),Peak (MB)
hashmaps/microbenchmarks,insertHeavy,Data.HashMap.Mutable.Linear,22.1,12,15,69
hashmaps/microbenchmarks,insertHeavy,Data.HashMap.Strict,34,84,29,72
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelDps,0.0648,0.438,0.00352,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.force,0.324,1.9,0.0977,6
DPS interface for compact regions/Breadth-first tree traversal,2^10,relabelPh.copyCR,0.346,1.9,0.0986,6
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelDps,0.62,3.3,0.229,6
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.force,9.15,15,9.1,10
DPS interface for compact regions/Breadth-first tree traversal,2^13,relabelPh.copyCR,9.1,15,9.8,10
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,14.3,26,19,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,97,122,104,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,102,125,106,55
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,180,209,271,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,839,974,881,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,869,998,892,422
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,1590,1640,2560,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,6490,7780,6860,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,6850,7990,7170,3312.9
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,12100,13300,19500,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.force,60000,62500,55300,26275
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelPh.copyCR,62800,63500,56300,25460
DPS interface for compact regions/map on List,2^10,mapL.force,0.0131,0.102,0.000809,6
DPS interface for compact regions/map on List,2^10,mapL.copyCR,0.0346,0.162,0.00000763,6
DPS interface for compact regions/map on List,2^10,mapS.force,0.0126,0.0391,0.000239,6
DPS interface for compact regions/map on List,2^10,mapS.copyCR,0.03,0.102,0.000128,6
DPS interface for compact regions/map on List,2^10,mapSH.force,0.0112,0.0703,0.00034,6
DPS interface for compact regions/map on List,2^10,mapSH.copyCR,0.0308,0.132,0.00000572,6
DPS interface for compact regions/map on List,2^10,mapST.force,0.0132,0.0703,0.000551,6
DPS interface for compact regions/map on List,2^10,mapST.copyCR,0.0326,0.133,0.000503,6
DPS interface for compact regions/map on List,2^10,mapTRL.force,0.0135,0.0938,0.000876,6
DPS interface for compact regions/map on List,2^10,mapTRL.copyCR,0.0255,0.156,0.000819,6
DPS interface for compact regions/map on List,2^10,mapTRS.force,0.0092,0.0625,0.000393,6
DPS interface for compact regions/map on List,2^10,mapTRS.copyCR,0.0197,0.124,0.000286,6
DPS interface for compact regions/map on List,2^10,mapTRSH.force,0.00919,0.0625,0.000391,6
DPS interface for compact regions/map on List,2^10,mapTRSH.copyCR,0.0197,0.124,0.000286,6
DPS interface for compact regions/map on List,2^10,mapTRST.force,0.0127,0.0938,0.000876,6
DPS interface for compact regions/map on List,2^10,mapTRST.copyCR,0.0256,0.156,0.000828,6
DPS interface for compact regions/map on List,2^10,mapDpsTRL,0.0241,0.109,0.00000381,6
DPS interface for compact regions/map on List,2^10,mapDpsTRS,0.0218,0.0781,0.00000381,6
DPS interface for compact regions/map on List,2^10,mapDpsFoldL,0.0394,0.194,0.00038,6
DPS interface for compact regions/map on List,2^10,mapDpsFoldLS,0.0336,0.164,0.000154,6
DPS interface for compact regions/map on List,2^10,mapDpsFoldSL,0.0306,0.124,0.00000572,6
DPS interface for compact regions/map on List,2^10,mapDpsFoldS,0.0244,0.0938,0.00000381,6
DPS interface for compact regions/map on List,2^13,mapL.force,0.0852,0.811,0.0342,6
DPS interface for compact regions/map on List,2^13,mapL.copyCR,0.181,1.1,0.0000505,6
DPS interface for compact regions/map on List,2^13,mapS.force,0.107,0.498,0.0137,6
DPS interface for compact regions/map on List,2^13,mapS.copyCR,0.199,0.814,0.0127,6
DPS interface for compact regions/map on List,2^13,mapSH.force,0.0673,0.559,0.0205,6
DPS interface for compact regions/map on List,2^13,mapSH.copyCR,0.161,0.899,0.0000353,6
DPS interface for compact regions/map on List,2^13,mapST.force,0.121,0.749,0.0361,6
